Aspect Ratio b/a	x=u (mm)	y=F_{t,b/a} (N)
	0.9000000000000002	0.0189773501831312
	0.92	0.0194733587974725
	0.94	0.0199739978198729
	0.9600000000000001	0.0204793154830253
	0.98	0.0209893562395494
	1.0	0.0215041610305673
0.25
	0.0	0.0
	0.02	0.00018489802725726767
	0.04	0.0003699021256762174
	0.060000000000000005	0.0005550207910138531
	0.08	0.0007403550905442873
	0.1	0.0009259673709460692
	0.12000000000000001	0.0011119263586334
	0.13999999999999999	0.0012983009157969
	0.16	0.0014851600580346
	0.18000000000000002	0.0016725729679138
	0.2	0.0018606090033307
	0.22000000000000003	0.0020493376995768
	0.24000000000000002	0.002238828763958
	0.26	0.0024291520617566
	0.28	0.0026203775922676
	0.30000000000000004	0.0028125754535968
	0.32	0.0030058157948828
	0.34	0.0032001687546059
	0.36000000000000004	0.0033957043836924
	0.38	0.0035924925522221
	0.4	0.0037906028387197
	0.42000000000000004	0.0039901044012753
	0.44000000000000006	0.0041910658301078
	0.46	0.0043935549816787
	0.48000000000000004	0.0045976387950816
	0.5	0.0048033830921765
	0.52	0.005010852363793
	0.54	0.0052201095452505
	0.56	0.0054312157853942
	0.58	0.0056442302142417
	0.6000000000000001	0.0058592097151024
	0.62	0.006076208707575
	0.64	0.0062952789480681
	0.6600000000000001	0.0065164693543679
	0.68	0.0067398258602565
	0.7000000000000001	0.0069653913052866
	0.7200000000000001	0.007193205363587
	0.7400000000000001	0.0074233045141
	0.76	0.0076557220530558
	0.7800000000000001	0.0078904881478855
	0.8	0.0081276299302873
	0.8200000000000001	0.0083671716248839
	0.8400000000000001	0.0086091347089088
	0.8600000000000001	0.008853538097674
	0.8800000000000001	0.0091003983501959
	0.9000000000000002	0.0093497298892816
	0.92	0.0096015452305498
	0.94	0.0098558552152392
	0.9600000000000001	0.010112669242185
	0.98	0.0103719954949678
	1.0	0.010633841160915
0.14
	0.0	0.0
	0.02	9.613780061297224e-05
	0.04	0.00019235182672059175
	0.060000000000000005	0.00028864393799562106
	0.08	0.0003851029069901426
	0.1	0.0004817723027504912
	0.12000000000000001	0.0005787047244463733
	0.13999999999999999	0.000675952444621199
	0.16	0.0007735673355560844
	0.18000000000000002	0.000871600792197924
	0.2	0.0009701036510486928
	0.22000000000000003	0.0010691261049684
	0.24000000000000002	0.0011687176140364
	0.26	0.0012689268128167
	0.28	0.0013698014145802
	0.30000000000000004	0.0014713881132439
	0.32	0.0015737324839844
	0.34	0.0016768788836685
	0.36000000000000004	0.0017808703524012
	0.38	0.0018857485176257
	0.4	0.0019915535023018
	0.42000000000000004	0.0020983238387429
	0.44000000000000006	0.0022060963896999
	0.46	0.002314906278238
	0.48000000000000004	0.0024247868278651
	0.5	0.0025357695142332
	0.52	0.0026478839295551
	0.54	0.0027611577606577
	0.56	0.0028756167813431
	0.58	0.0029912848594461
	0.6000000000000001	0.0031081839786861
	0.62	0.0032263342751027
	0.64	0.0033457540875678
	0.6600000000000001	0.0034664600215754
	0.68	0.0035884670252468
	0.7000000000000001	0.0037117884762551
	0.7200000000000001	0.003836436278182
	0.7400000000000001	0.0039624209646754
	0.76	0.0040897518096843
	0.7800000000000001	0.0042184369420117
	0.8	0.004348483462437
	0.8200000000000001	0.0044798975617309
